Channel;Entropy
Fp1;0,003256033001045
Fz;0,026806259910891
F3;0,016728070213694
F7;0,059330451052086
FT9;0,003276061724235
FC5;0,240026963336313
FC1;0,265468941431091
C3;0,553536279083306
T7;0,278729084389027
TP9;0,169770158048794
CP5;0,495285256628405
CP1;0,998246129555562
Pz;0,719089665920039
P3;0,582892117504864
P7;0,308327802395274
O1;0,280977978307354
Oz;0,279581869115431
O2;0,251359777916671
P4;0,506848347104258
P8;0,230694007190689
TP10;0,201600650955945
CP6;0,446831765284905
CP2;1,010805160626455
Cz;0,814216848630945
C4;0,585939528920945
T8;0,169145222675962
FT10;0,103916873802601
FC6;0,208051698505134
FC2;0,306171301897437
F4;0,017464694189779
F8;0,039171220445662
Fp2;0,003252462607924
AF7;0,009982472707911
AF3;0,004970767757442
AFz;0,005010160277426
F1;0,020452600835154
F5;0,015721365050134
FT7;0,197882165484358
FC3;0,256429417125234
FCz;0,265517437065969
C1;0,741130680170545
C5;0,403392668840696
TP7;0,331006844180836
CP3;0,635144342306294
P1;0,753718743533384
P5;0,445932691523826
PO7;0,274858143562901
PO3;0,459723408462265
POz;0,399482466395094
PO4;0,307188682822338
PO8;0,239853543250384
P6;0,395029333693935
P2;0,753853604143156
CP4;0,668480846872012
TP8;0,204079317090008
C6;0,359190428320318
C2;0,754464253855076
FC4;0,277450991154353
FT8;0,213494354673043
F6;0,020004117240931
F2;0,018448990055985
AF4;0,004637153814195
AF8;0,003466482468521
