Channel;Entropy
Fp1;0,014482614837630
Fz;0,654686849334959
F3;0,099736878406145
F7;0,048074846648281
FT9;0,078169128624198
FC5;0,232649547432445
FC1;0,839996042453744
C3;0,949758896341328
T7;0,163142184566947
TP9;0,208763033969508
CP5;0,454558423538568
CP1;1,102941299757698
Pz;0,603282658545427
P3;0,564691134164763
P7;0,396709831228195
O1;0,343807194547741
Oz;0,356449059714854
O2;0,317384331512630
P4;0,421765887072104
P8;0,266811955151098
TP10;0,111496288331498
CP6;0,264095638037310
CP2;0,921582136401513
Cz;3,419546520330352
C4;0,698130728633716
T8;0,117093803098868
FT10;0,118847356183649
FC6;0,102583178703827
FC2;1,345222620803876
F4;0,539126325113986
F8;0,093074113260176
Fp2;0,015188881447919
AF7;0,083556194762834
AF3;0,015033021052662
AFz;0,170438998743282
F1;0,483375554030912
F5;0,097884402932391
FT7;0,082176371846732
FC3;0,552559110224771
FCz;2,593832231610322
C1;1,493593899481408
C5;0,471727377013209
TP7;0,355234983592321
CP3;0,755805270189513
P1;0,774316432198532
P5;0,392006949687335
PO7;0,327532252012171
PO3;0,479369052720145
POz;0,507050801834217
PO4;0,395846979525060
PO8;0,226858130858916
P6;0,261817435620110
P2;0,650222955576747
CP4;0,626190798918611
TP8;0,259338300863838
C6;0,300476499688864
C2;1,420091740703174
FC4;0,670368628182664
FT8;0,102833960289750
F6;0,095326561362776
F2;1,212004274345509
AF4;0,015370629850084
AF8;0,104409291947889
