Channel;Entropy
Fp1;0,000070080247852
Fz;0,043668340946796
F3;0,016426865947596
F7;0,000481151029777
FT9;0,044975390065319
FC5;0,038948654953919
FC1;0,190609171504370
C3;0,288793163327550
T7;0,119779662727661
TP9;0,104093852774216
CP5;0,280940601755851
CP1;0,948530570009293
Pz;0,700971047070367
P3;0,546630478649054
P7;0,162029107505726
O1;0,100171742349171
Oz;0,117995323424627
O2;0,107318967373495
P4;0,308664561228580
P8;0,097307185565230
TP10;0,072571765732441
CP6;0,206974360174974
CP2;0,780154298125068
Cz;0,819722049949866
C4;0,308436206916591
T8;0,049152831535970
FT10;0,011264168261074
FC6;0,034859910259580
FC2;0,296991936052109
F4;0,038530502431897
F8;0,003448672997658
Fp2;0,000417522790635
AF7;0,000002669938231
AF3;0,004891825956071
AFz;0,004952690460704
F1;0,029221381055664
F5;0,004270041069315
FT7;0,022029761580677
FC3;0,106740439644064
FCz;0,243362819606583
C1;0,530173129822384
C5;0,200971206925516
TP7;0,182788294573988
CP3;0,481664821568585
P1;0,046195111443219
P5;0,315138057170911
PO7;0,133579546606099
PO3;0,264699788963022
POz;0,284646184408632
PO4;0,200435570757297
PO8;0,081140053052215
P6;0,174370207270571
P2;0,447951975558035
CP4;0,379578873669773
TP8;0,117235082020553
C6;0,104753343263968
C2;0,700995760270678
FC4;0,143093190232898
FT8;0,014471208688919
F6;0,008190114129553
F2;0,061107389959039
AF4;0,004189791497309
AF8;0,000134251829903
