Session: RegressionLearnerSessionfinalv1,,,,,,,,,,,
Training Data: DataInputFinal    Observations: 71,,,,,,,,,,,
"Predictors: 4    Predictor Names: Age, YrsSinceDiagnosis, UDPRSOff, SampleENOffMedAverage",,,,,,,,,,,
Response Name: LEDMg_totalDaily_,,,,,,,,,,,
Validation: 5-fold cross-validation,,,,,,,,,,,
Test Data: DataInputFinal    Observations: 17,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Favorite,Model Number,Model Type,Status,RMSE (Validation),MSE (Validation),RSquared (Validation),MAE (Validation),MAE (Test),MSE (Test),RMSE (Test),RSquared (Test)
0,2.4,SVM,Tested,394.500608083612,155630.729778339,-0.00215415444253519,245.335193471629,295.542655148754,215111.758884275,463.80142182218,-0.276459888785998
0,2.5,SVM,Tested,372.124682037311,138476.77898137,0.108305412769998,268.323827095192,179.647651659771,65860.7130053153,256.633421450355,0.609186597542731
0,2.6,SVM,Tested,316.136149756693,99942.0651829859,0.356442291510504,203.351596828715,184.452144133902,133126.209737326,364.86464577611,0.210037295231142
0,2.7,SVM,Tested,266.620480752938,71086.4807569278,0.542252278089814,157.418644867086,163.176363444808,90371.3513495155,300.618281795229,0.463741983742036
0,2.8,SVM,Tested,313.926035154004,98549.5555475126,0.365409089509064,204.365298759992,190.696896481338,110032.773280788,331.711882935761,0.347072320577467
0,2.9,SVM,Tested,392.088070327325,153733.054893005,0.0100655580321635,247.651157633913,290.6246727542,191735.947451726,437.876634968945,-0.137749267775613
0,2.10,Efficient Linear,Tested,398.964752612322,159172.873827012,-0.0249631098401397,287.857924238925,311.064436774959,158994.3698725,398.74098092935,0.0565372309831138
0,2.11,Efficient Linear,Tested,410.855206633147,168802.000817566,-0.0869680212800799,262.837490907211,312.280565030562,230894.683982551,480.515019518174,-0.370114791335984
0,2.12,Ensemble,Tested,261.14982361864,68199.2303760467,0.560844171658886,195.73277631994,128.058720490988,33079.1374232877,181.876709403067,0.803710441979222
1,2.14,Gaussian Process Regression,Tested,120.145241281408,14434.8790025677,0.907049372692,58.2394502383044,29.6617284750917,5525.58666515722,74.3342899687433,0.967211510069617
0,2.15,Gaussian Process Regression,Tested,120.745322616072,14579.4329336593,0.906118545452477,57.9109959633903,33.1273678917272,6888.80408417668,82.9988197758057,0.959122262117306
0,2.16,Gaussian Process Regression,Tested,141.27786841709,19959.4361044765,0.871475049683823,86.5470067860576,71.3534387207365,19587.1619583899,139.954142340947,0.883770990927138
0,2.17,Gaussian Process Regression,Tested,120.145242427105,14434.8792778677,0.907049370919258,58.2394457149992,29.6617332722841,5525.58825821527,74.3343006842418,0.967211500616509
0,2.18,Neural Network,Tested,310.761000593667,96572.3994899771,0.378140605706813,202.340810129628,146.598064294073,37305.2335231093,193.145627760789,0.778633048788089
0,2.19,Neural Network,Tested,293.156583594842,85940.7825049997,0.446600858672997,142.028951475677,89.4425945927133,23752.6470218504,154.118937907872,0.859053259881552
0,2.20,Neural Network,Tested,237.486683248358,56399.924720306,0.636823531257594,129.715624484785,71.351516631927,14118.6198531011,118.821798728605,0.916220981963164
0,2.21,Neural Network,Tested,231.385286610897,53539.1508600071,0.655244934364181,129.323104441493,141.952753387375,159736.926944557,399.671023398691,0.0521309431886597
0,2.22,Neural Network,Tested,263.183047118481,69265.3162905685,0.553979316435548,158.238586428545,25.6470252619325,2933.4700730419,54.1615183782905,0.982592969800379
