Channel;Entropy
Fp1;0,004453465363464
Fz;0,109519911968506
F3;0,065711190903958
F7;0,008119116660090
FT9;0,029050827678814
FC5;0,073169462789479
FC1;0,359371045802487
C3;0,501096141361185
T7;0,136670669143894
TP9;0,156666339328677
CP5;0,362499013428120
CP1;0,771218353126771
Pz;0,651815920148903
P3;0,334940307133165
P7;0,175380549161077
O1;0,208768041781901
Oz;0,279419587859997
O2;0,218761945737354
P4;0,557169855663358
P8;0,191391735811541
TP10;0,001980845391631
CP6;0,382404018567553
CP2;1,125454346878104
Cz;0,792617429983812
C4;0,443154688736895
T8;0,166290943546828
FT10;0,000000000000000
FC6;0,060635706906089
FC2;0,330122267845978
F4;0,061096897060362
F8;0,007719806091568
Fp2;0,006865591297018
AF7;0,005049807952986
AF3;0,010640216182769
AFz;0,014943708411870
F1;0,104035309960408
F5;0,019740439100141
FT7;0,039060656131054
FC3;0,222014722631952
FCz;0,344755225837575
C1;0,796765043933558
C5;0,210125755054325
TP7;0,219447938265126
CP3;0,510191081803794
P1;0,446830381118867
P5;0,248578635563431
PO7;0,147442968629495
PO3;0,248118849990344
POz;0,365492071869577
PO4;0,318057790664610
PO8;0,164430234517877
P6;0,316055263574538
P2;0,767020912011384
CP4;0,611537402954563
TP8;0,245139821205993
C6;0,236579754971787
C2;0,658030272651504
FC4;0,220738736176206
FT8;0,047242201228629
F6;0,020182756774513
F2;0,110300007668286
AF4;0,015549116567267
AF8;0,007259941645890
