Channel;Entropy
Fp1;0,000019638995335
Fz;0,053129841289409
F3;0,025849620591824
F7;0,012591590154939
FT9;0,060704453207167
FC5;0,105626757109247
FC1;0,245291091113453
C3;0,348079087821211
T7;0,090913937461508
TP9;0,092209355677966
CP5;0,212939667640557
CP1;0,832360953112712
Pz;0,495906039834689
P3;0,285653974018875
P7;0,112254539008999
O1;0,169137705318766
Oz;0,168843337566398
O2;0,169502625191670
P4;0,374498837786584
P8;0,188706523404185
TP10;0,114912121328400
CP6;0,274742449626570
CP2;0,739571445707949
Cz;0,622176054575974
C4;0,280145947664305
T8;0,115840041186203
FT10;0,041783366906285
FC6;0,106472783226068
FC2;0,187612802674951
F4;0,027620947181025
F8;0,008492791437844
Fp2;0,000036376491903
AF7;0,000027371999782
AF3;0,007105522479069
AFz;0,011687548111078
F1;0,081096262722757
F5;0,012106545364080
FT7;0,072327887526179
FC3;0,188091109410651
FCz;0,233382418800973
C1;0,553922269330119
C5;0,200123966713807
TP7;0,121607501735507
CP3;0,418425666350155
P1;0,295131586161302
P5;0,165454969770377
PO7;0,111976661092597
PO3;0,155646607419499
POz;0,198547967453937
PO4;0,252726214485321
PO8;0,140760368562707
P6;0,265457402243644
P2;0,631054161482327
CP4;0,359346095166518
TP8;0,201429506776721
C6;0,220973412239759
C2;0,474530520517122
FC4;0,151124851541316
FT8;0,085236930077464
F6;0,026949457696594
F2;0,060493870412733
AF4;0,012544838780813
AF8;0,000002214225842
