Channel;Entropy
Fp1;0,006379219250947
Fz;0,097897810212607
F3;0,106058717623523
F7;0,011355937311764
FT9;0,030893002270829
FC5;0,102963371729674
FC1;0,478799545171391
C3;0,541899554779262
T7;0,096873706989320
TP9;0,148621116076946
CP5;0,322443965808001
CP1;1,165246072917167
Pz;0,819234517141000
P3;0,586915499884765
P7;0,262962294895437
O1;0,256243660547576
Oz;0,176178515271727
O2;0,292674781939179
P4;0,661433604105811
P8;0,345723552980541
TP10;0,227435676949740
CP6;0,408234293128463
CP2;1,204973243828904
Cz;1,153502629888320
C4;0,341624609931558
T8;0,174929110599974
FT10;0,006204245893181
FC6;0,032526127736337
FC2;0,249183496134104
F4;0,019867584198174
F8;0,002528017157060
Fp2;0,004975497708298
AF7;0,006089187239393
AF3;0,010057590893622
AFz;0,009492214262244
F1;0,143079536725801
F5;0,026056960404363
FT7;0,036142092527900
FC3;0,283343400308698
FCz;0,439726305333527
C1;0,999144334926119
C5;0,204300148049952
TP7;0,149440910066898
CP3;0,648467584915050
P1;0,750051165338673
P5;0,375344718563929
PO7;0,252656601040696
PO3;0,388370157664130
POz;0,417876116285074
PO4;0,310053256010274
PO8;0,294402433919067
P6;0,476688631838365
P2;0,840989881359275
CP4;0,445859963642773
TP8;0,331549690435110
C6;0,128669122854459
C2;0,737335727872645
FC4;0,084976660477812
FT8;0,032093333373653
F6;0,007703184873915
F2;0,053447145723352
AF4;0,007737848783414
AF8;0,001301863316890
