Channel;Entropy
Fp1;0,013708864432382
Fz;0,553493734604737
F3;0,552339598893966
F7;0,551175543247866
FT9;0,215857296170697
FC5;0,761971614241454
FC1;0,967692659006347
C3;1,189468049367957
T7;0,447345376793896
TP9;0,328832628535816
CP5;0,831032671163589
CP1;2,234855645553873
Pz;1,401517903275045
P3;0,956660351075781
P7;0,454391491558712
O1;0,469622738057093
Oz;0,587420093594901
O2;0,480040730496043
P4;0,875925683097938
P8;0,341457903753675
TP10;0,246126396517473
CP6;0,709488569742200
CP2;1,938605686794697
Cz;1,428210123128958
C4;1,267032743239802
T8;0,439083322988483
FT10;0,187989605484041
FC6;0,623774672235933
FC2;0,932161195618423
F4;0,486410003694813
F8;0,324465817534377
Fp2;0,019773058165263
AF7;0,013812710966580
AF3;0,087218840495109
AFz;0,140777320709661
F1;0,548455125331979
F5;0,545610007449699
FT7;0,270459966155158
FC3;0,882252283832553
FCz;0,993094781069276
C1;1,390762837023613
C5;0,774604911025405
TP7;0,488039503067085
CP3;1,321547221369679
P1;1,201232772249146
P5;0,689103881067419
PO7;0,275722405946702
PO3;0,709940189143310
POz;0,829519600874601
PO4;0,752054063392138
PO8;0,301198870796724
P6;0,555226206266982
P2;1,208323889093274
CP4;1,260879883181924
TP8;0,356046544961834
C6;0,693228153156548
C2;1,278434813613003
FC4;0,586130928233570
FT8;0,291180750669796
F6;0,311142092694083
F2;0,494278212719961
AF4;0,115124476912013
AF8;0,019974301332401
