Channel;Entropy
Fp1;0,069889152589615
Fz;0,245381176862883
F3;0,188519536750986
F7;0,128233837674243
FT9;0,134288406181145
FC5;0,107662920608314
FC1;0,304045248795556
C3;0,262379862967879
T7;0,249497882800407
TP9;0,019014169478304
CP5;0,314660330969798
CP1;0,954299097524346
Pz;0,397612019270853
P3;0,277788371643165
P7;0,173269406231947
O1;0,095723719178496
Oz;0,119101671057172
O2;0,122941448946326
P4;0,272320077743981
P8;0,141470290633862
TP10;0,120026012986734
CP6;0,368160325057621
CP2;0,758756125642178
Cz;0,778773535691074
C4;0,460615003797087
T8;0,170783242783468
FT10;0,139327440859606
FC6;0,211693103869706
FC2;0,315965365191104
F4;0,182958673150690
F8;0,068555095750617
Fp2;0,051658495825765
AF7;0,082252893839862
AF3;0,152077829073156
AFz;0,186535715755203
F1;0,248787474175532
F5;0,167527817850983
FT7;0,159159467808912
FC3;0,306068895003900
FCz;0,397146167065811
C1;0,575712730219769
C5;0,350792185712576
TP7;0,180660679990136
CP3;0,473639297011494
P1;0,330480018329445
P5;0,214300723845557
PO7;0,108137035981529
PO3;0,111006110244888
POz;0,141319556475946
PO4;0,136440868159711
PO8;0,101592330863635
P6;0,092525600706025
P2;0,330663935344535
CP4;0,525216181114197
TP8;0,240049044077066
C6;0,334596423235124
C2;0,450935149337456
FC4;0,284296919591188
FT8;0,147451688427811
F6;0,128565501547910
F2;0,239623780293206
AF4;0,163839263156720
AF8;0,045554735596957
