Channel;Entropy
Fp1;0,356555008094571
Fz;0,291895100623533
F3;0,410147510682673
F7;0,214518794712980
FT9;0,082803216143814
FC5;0,401663070756510
FC1;0,594297214711809
C3;0,703616733892670
T7;0,295131617626083
TP9;0,141634931723531
CP5;0,563184475068937
CP1;0,522420068871307
Pz;0,852837501527949
P3;0,670597492894476
P7;0,375643920763006
O1;0,416292500839721
Oz;0,416918371202290
O2;0,443706947700027
P4;0,637946378998787
P8;0,456265011138360
TP10;0,029957574408751
CP6;0,550213075392428
CP2;0,876992793725813
Cz;0,850109486608962
C4;0,143673515721864
T8;0,404660235905242
FT10;0,225978846417219
FC6;0,455813178377547
FC2;0,554509550133306
F4;0,357908934077382
F8;0,211293292794069
Fp2;0,168033803244574
AF7;0,263242614514227
AF3;0,371421239150858
AFz;0,429566708020722
F1;0,445213515109613
F5;0,245327759132842
FT7;0,292838193854728
FC3;0,337246786996009
FCz;0,599005706488814
C1;0,677199887206841
C5;0,556483743518680
TP7;0,125800032688567
CP3;0,739283513156310
P1;0,774128756131751
P5;0,544362706027782
PO7;0,402488059306387
PO3;0,599544978777667
POz;0,610951135123211
PO4;0,523533924266664
PO8;0,431964150780995
P6;0,539000191399452
P2;0,783005827221033
CP4;0,688814760491303
TP8;0,451394190177228
C6;0,523294373481460
C2;0,813963143201403
FC4;0,255285845408283
FT8;0,391378440495230
F6;0,091939696026206
F2;0,361975642575093
AF4;0,388102034143287
AF8;0,348239632150863
