Channel;Entropy
Fp1;0,013384678309451
Fz;0,496461083942931
F3;0,487411437541911
F7;0,545830800594585
FT9;0,274384143446570
FC5;0,727751675964109
FC1;0,913583929940445
C3;1,221281681023392
T7;0,476271277553748
TP9;0,323559812932958
CP5;0,834030974149088
CP1;2,171979818038918
Pz;1,411006718703667
P3;0,952101499856628
P7;0,448109696855031
O1;0,420183878333131
Oz;0,567119465154218
O2;0,468745766344374
P4;0,900106828506182
P8;0,395877622243934
TP10;0,383404835087889
CP6;0,728526925294062
CP2;1,875473445513482
Cz;1,389269395925114
C4;1,283460412905531
T8;0,456667313695458
FT10;0,331309773194216
FC6;0,650242193380073
FC2;0,923536931693993
F4;0,479943621840095
F8;0,151036506309922
Fp2;0,018703350526392
AF7;0,013331990961990
AF3;0,091566544600849
AFz;0,117474670786306
F1;0,492198483736904
F5;0,485179963029298
FT7;0,404620532805115
FC3;0,859191881698474
FCz;0,956903648911813
C1;1,309282523345421
C5;0,804582888033448
TP7;0,517303672998375
CP3;1,299498689209788
P1;1,240853419439798
P5;0,656075786543274
PO7;0,308044317155340
PO3;0,694348004126017
POz;0,822324987830203
PO4;0,765641532810034
PO8;0,330010493614569
P6;0,594324946389674
P2;1,207943487612494
CP4;1,215379580204661
TP8;0,463450233251022
C6;0,703036276821675
C2;1,278048455336782
FC4;0,831568814921103
FT8;0,372260881762152
F6;0,385988532603602
F2;0,412293360344122
AF4;0,101517708928197
AF8;0,018901179905011
