Channel;Entropy
Fp1;0,126670774991352
Fz;0,160943038518151
F3;0,014832514479899
F7;0,092172329863600
FT9;0,073124333198470
FC5;0,105476203857237
FC1;0,225067800083011
C3;0,354229718935471
T7;0,083843487672783
TP9;0,043433854736136
CP5;0,119173144387739
CP1;0,623976194442465
Pz;0,424792673037343
P3;0,193957297178708
P7;0,082133783822218
O1;0,064533012006289
Oz;0,069045907170663
O2;0,107172741008580
P4;0,125723523502897
P8;0,073148548039749
TP10;0,086838399860619
CP6;0,249065471024504
CP2;0,391189351239784
Cz;0,494407828784285
C4;0,238612636674846
T8;0,052019807078030
FT10;0,086275380020851
FC6;0,125209719405952
FC2;0,245844475512223
F4;0,089139517858960
F8;0,132188299050074
Fp2;0,127487023134437
AF7;0,109493706423535
AF3;0,091058197189823
AFz;0,008273029716070
F1;0,167079019267263
F5;0,126317984274723
FT7;0,072703015622620
FC3;0,213050960745406
FCz;0,232465920767760
C1;0,466011201138187
C5;0,247154308220074
TP7;0,183394032746037
CP3;0,498508177398553
P1;0,352295111447439
P5;0,116177265736686
PO7;0,064791144458879
PO3;0,124359493845907
POz;0,245636233745369
PO4;0,077456476166208
PO8;0,108366755941950
P6;0,115723317149303
P2;0,063603454354533
CP4;0,474126385105494
TP8;0,064930774217561
C6;0,084140044985023
C2;0,436900811922978
FC4;0,142746646590371
FT8;0,125924628397296
F6;0,074395287622025
F2;0,134630307380302
AF4;0,054000793226964
AF8;0,124671856340947
